id,mpa_name
58,Aspy Bay
59,Big Glace Bay Lake Migratory Bird Sanctuary
1,Bird Islands
10,Boot Island National Wildlife Area
13,Bras d?Or Lake
11,John Lusby Marsh National Wildlife Area
9,Kejimkujik Seaside National Park and Historic Site
12,Long Eddy
4,Machias Seal Island Bird Sanctuary
55,MacNamaras Islands
51,Martinique Beach & Musquodoboit Harbour
50,McNutts Island
8,Musquash Estuary Marine Protected Area
3,Port Hebert Bird Sanctuary
7,Port Joli Bird Sanctuary
6,Sable River Bird Sanctuary
40,Southern Bight
52,St. Mary?s (Napu?saqnuk) River and Estuary
43,West Isles and Passages


x 37,Bay of Fundy Horse Mussel Aggregations
x 47,Brier Island
x 29,Canso Bank and Channels
x 54,Canso Ledges - Sugar Harbour Islands
x 26,"Central Scotian Slope, Rise and Abyss"
x 44,Chebogue
x 42,Chignecto Bay
x 41,Cobequid Bay
x 32,Cold Seeps
x 19,Corsair and Georges Canyons Marine Refuge
x 53,Country Island
x 20,Eastern Canyons Marine Refuge
x 31,Eastern Shoal
x 2,Eastern Shore Islands
x 49,Eel Bay
x 17,Emerald Basin Sponge Marine Refuge
x 56,Fleur de Lis Coast
x 33,Fundian Channel-Browns Bank
x 23,Georges Bank
x 38,Gully Marine Protected Area
x 57,Ingonish
x 27,Inner Shelf Sea Pen Field
x 36,Jordan Basin Marine Refuge
x 24,LaHave Basin
x 45,LaHave Islands
x 34,Logan Canyon
x 30,Misaine Bank and Laurentian Channel
x 16,Northeast Channel Coral Marine Refuge
x 39,Pems?k
x 28,Sable Island Bank
x 14,Salmon Rivers
x 18,Sambro Bank Sponge Marine Refuge
x 46,Sambro Ledges - Prospect
x 25,Scotian Gulf
x 48,South Grand Manan
X 21,Southwest Bank
X 35,St. Anns Bank Marine Protected Area
X 15,Western/Emerald Banks Marine Refuge
X 22,Western Jordan Basin
